Risk ID,Asset/Process,Threat,Vulnerability,Likelihood (1-5),Impact (1-5),Inherent Risk Score,Existing Controls,Residual Likelihood (1-5),Residual Impact (1-5),Residual Risk Score,Risk Level,Treatment,Owner,Target Date,Status
R-001,AWS Production Environment,Unauthorized access due to misconfigured S3 buckets,No automated cloud security posture monitoring; manual config reviews only,4,5,20,Manual quarterly config review; IAM least-privilege on paper,3,5,15,High,Mitigate,Head of IT,2026-11-30,Open
R-002,Employee Endpoints,Phishing leading to credential theft,No mandatory phishing simulation or security awareness training program,4,4,16,Okta MFA enforced org-wide,2,4,8,Medium,Mitigate,Head of IT,2026-12-31,Open
R-003,Production Database (PHI),Data exfiltration by a malicious or compromised insider,Shared database credentials used by multiple engineers; no query-level audit logging,3,5,15,Database access restricted to engineering team via VPN,3,5,15,High,Mitigate,Engineering Lead,2026-10-31,Open
R-004,Third-Party Subprocessors,Vendor breach exposing PHI shared for analytics processing,No formal vendor risk assessment or PHI data processing agreements on file for 2 of 6 subprocessors,3,4,12,Standard MSA in place; no security-specific due diligence,2,4,8,Medium,Mitigate,Head of IT,2027-01-31,Open
R-005,CI/CD Pipeline (GitHub Actions),Introduction of malicious code via compromised dependency or pipeline secret leak,Pipeline secrets stored as plain repo secrets; no dependency scanning (SCA) in place,3,4,12,Branch protection rules enabled; PR review required,2,4,8,Medium,Mitigate,Engineering Lead,2026-12-15,Open
R-006,Employee Offboarding,Former employee retains access to systems after termination,Offboarding checklist exists but is manual and not consistently followed,3,4,12,HR notifies IT via email on termination,2,4,8,Medium,Mitigate,HR Manager,2026-11-15,Open
R-007,Backup and Recovery,Ransomware renders production and backup data unrecoverable,Backups are automated but never tested via a full restore drill,2,5,10,Daily automated AWS backups with 30-day retention,2,4,8,Medium,Mitigate,Head of IT,2027-02-28,Open
R-008,Corporate Laptops,Loss or theft of an unencrypted laptop containing PHI extracts,Full-disk encryption policy exists but is not centrally enforced/verified,3,4,12,Laptop encryption recommended in onboarding checklist,2,4,8,Medium,Mitigate,Head of IT,2026-11-30,Open
R-009,Customer-Facing Web Application,Exploitation of an unpatched web application vulnerability,No web application firewall (WAF); ad hoc dependency patching,3,4,12,Basic AWS security group restrictions,2,4,8,Medium,Mitigate,Engineering Lead,2027-01-15,Open
R-010,Payment Processing,Non-compliance with PCI-DSS scope leading to fines or processor termination,Payment data handling not formally reviewed against PCI-DSS since integrating billing vendor,2,4,8,Third-party payment processor (Stripe) used; no cardholder data stored directly,1,3,3,Low,Accept,Finance Lead,N/A,Accepted
R-011,Remote Work Environment,Data exposure via use of personal/unmanaged devices accessing company systems,No formal BYOD policy or device management (MDM) for contractors,3,3,9,Okta MFA required for all logins,2,3,6,Medium,Mitigate,Head of IT,2027-02-28,Open
R-012,Change Management,Unauthorized or untested production changes causing an outage,No formal change advisory process; deploys approved informally in Slack,3,3,9,PR review and CI tests required before merge,2,3,6,Medium,Mitigate,Engineering Lead,2027-01-31,Open
R-013,Physical Office Access (Remote-First),Unauthorized physical access to the shared co-working office,Shared co-working space managed by third-party building operator,2,2,4,Badge access controlled by building operator,2,2,4,Low,Accept,Head of IT,N/A,Accepted
R-014,Security Documentation,Inability to demonstrate compliance to customers/auditors,No centralized policy repository or version control for security documentation,4,3,12,Policies exist but are stored in scattered shared drives,2,3,6,Medium,Mitigate,Head of IT,2026-10-31,Open
